"symbol","N","Z","alpha_0(BG)","alpha_0(TS)","C6(BG)","C6(TS)","R_vdw(TS)","alpha_0(TSsurf)","C6(TSsurf)","R_vdw(TSsurf)"
"Ca3+",17,20,2.636213791,,7.25,,,,,
"Ca2+",18,20,3.050131114,,9.77,,,,,
"Ca+",19,20,75.47245714,,554,,,,,
"Sc3+",18,21,2.272979833,,6.19,,,,,
"Sc2+",19,21,32.84875201,,165,,,,,
"Sc+",20,21,59.98722107,,531,,,,,
"Sc-",22,21,133.8470779,,1857,,,,,
"Sc2-",23,21,134.4788926,,1943,,,,,
"Ti3+",19,22,18.23735304,,69.8,,,,,
"Ti2+",20,22,31.19442294,,201,,,,,
"Ti+",21,22,44.64103828,,286,,,,,
"Ti-",23,22,109.7037485,,1384,,,,,
"Ti2-",24,22,109.5117464,,1421,,,,,
"V3+",20,23,18.72497166,,93.5,,,,,
"V2+",21,23,26.6552537,,161,,,,,
"V+",22,23,36.52908272,,217,,,,,
"V-",24,23,94.53297241,,1102,,,,,
"V2-",25,23,94.10852797,,1120,,,,,
"Cr3+",21,24,16.32140198,,61.8,,,,,
"Cr2+",22,24,23.55422347,,110,,,,,
"Cr+",23,24,38.24435346,,236,,,,,
"Cr-",25,24,83.49865239,,908,,,,,
"Cr2-",26,24,82.85996684,,913,,,,,
"Mn3+",22,25,14.05907777,,61.6,,,,,
"Mn2+",23,25,19.87121585,,105,,,,,
"Mn+",24,25,25.75693526,,132,,,,,
"Mn-",26,25,74.74188935,,762,,,,,
"Mn2-",27,25,74.32065904,,767,,,,,
"Fe3+",23,26,12.79032535,,53.8,,,,,
"Fe2+",24,26,18.05874648,,91.3,,,,,
"Fe+",25,26,23.16203063,,114,,,,,
"Fe-",27,26,66.46111121,,640,,,,,
"Fe2-",28,26,66.12291693,,644,,,,,
"Co3+",24,27,11.43093686,,45.6,,,,,
"Co2+",25,27,16.12490085,,77.3,,,,,
"Co+",26,27,20.58334291,,95.8,,,,,
"Co-",28,27,59.7536424,,545,,,,,
"Co2-",29,27,59.4769471,,548,,,,,
"Ni3+",25,28,10.24744445,,38.8,,,,,
"Ni2+",26,28,14.40341748,,65.6,,,,,
"Ni+",27,28,18.44309373,,81.5,,,,,
"Ni-",29,28,54.15788589,,470,,,,,
"Ni2-",30,28,53.97599802,,472,,,,,
"Cu3+",26,29,7.345036482,,19.9,,,,,
"Cu2+",27,29,10.57523784,,35.2,,,,,
"Cu+",28,29,17.55997002,,75.9,,,,,
"Cu-",30,29,49.27385073,,407,,,,,
"Zn3+",27,30,7.996930347,,27,,,,,
"Zn2+",28,30,11.23685047,,45.6,,,,,
"Zn+",29,30,17.91856832,,91.7,,,,,
"Zn-",31,30,845.4906202,,17793,,,,,
"Ga3+",28,31,15.23506843,,71.8,,,,,
"Ga2+",29,31,15.22732496,,71.8,,,,,
"Ga+",30,31,15.21732611,,71.8,,,,,
"Ga-",32,31,103.2035095,,1433,,,,,
"Ga2-",33,31,134.1205443,,2358,,,,,
"Ge3+",29,32,9.10902981,,33.4,,,,,
"Ge2+",30,32,9.10547808,,33.4,,,,,
"Ge+",31,32,18.46432458,,108,,,,,
"Ge-",33,32,63.32204261,,796,,,,,
"Ge2-",34,32,68.73550399,,977,,,,,
"As3+",30,33,5.944150649,,17.5,,,,,
"As2+",31,33,9.925434515,,43.2,,,,,
"As+",32,33,16.44225988,,102,,,,,
"As-",34,33,40.03861896,,443,,,,,
"As2-",35,33,43.91257603,,544,,,,,
"Se3+",31,34,7.11830845,,26.2,,,,,
"Se2+",32,34,10.4240312,,52,,,,,
"Se+",33,34,15.70270143,,104,,,,,
"Se-",35,34,31.73135958,,332,,,,,
"Se2-",36,34,34.72309095,,403,,,,,
"Br3+",32,35,6.990433625,,28.6,,,,,
"Br2+",33,35,9.617274957,,50.6,,,,,
"Br+",34,35,13.6438942,,91.2,,,,,
"Br-",36,35,42.81721829,,497,,,,,
"Kr3+",33,36,6.155599299,,25.9,,,,,
"Kr2+",34,36,8.029704922,,41.7,,,,,
"Kr+",35,36,11.1474649,,71.9,,,,,
"Rb3+",34,37,4.463460524,,17.3,,,,,
"Rb2+",35,37,5.775201156,,27.2,,,,,
"Rb+",36,37,8.320371813,,49.1,,,,,
"Rb-",38,37,464.9268456,,11420,,,,,
"Sr3+",35,38,4.466709804,,18.5,,,,,
"Sr2+",36,38,5.519602086,,26.9,,,,,
"Sr+",37,38,90.22492941,,790,,,,,
"Y3+",36,39,4.561931379,,20.3,,,,,
"Y2+",37,39,47.40015591,,325,,,,,
"Y+",38,39,88.05804084,,1017,,,,,
"Y-",40,39,174.9054993,,3078,,,,,
"Y2-",41,39,181.260251,,3436,,,,,
"Zr3+",37,40,27.82371007,,154,,,,,
"Zr2+",38,40,48.50134887,,430,,,,,
"Zr+",39,40,62.04108803,,574,,,,,
"Zr-",41,40,134.491762,,2157,,,,,
"Zr2-",42,40,135.799622,,2299,,,,,
"Nb3+",38,41,33.38250109,,251,,,,,
"Nb2+",39,41,45.05976636,,404,,,,,
"Nb+",40,41,55.27018046,,512,,,,,
"Nb-",42,41,113.5748657,,1684,,,,,
"Nb2-",43,41,113.6965766,,1756,,,,,
"Mo3+",39,42,22.84407089,,133,,,,,
"Mo2+",40,42,31.4231084,,223,,,,,
"Mo+",41,42,47.61467467,,424,,,,,
"Mo-",43,42,100.2978521,,1385,,,,,
"Mo2-",44,42,99.42215985,,1410,,,,,
"Tc3+",40,43,20.98163922,,133,,,,,
"Tc2+",41,43,28.20843434,,210,,,,,
"Tc+",42,43,32.68246568,,246,,,,,
"Tc-",44,43,90.57412078,,1169,,,,,
"Tc2-",45,43,89.95400259,,1186,,,,,
"Ru3+",41,44,18.82432854,,116,,,,,
"Ru2+",42,44,25.32926087,,181,,,,,
"Ru+",43,44,37.90143983,,327,,,,,
"Ru-",45,44,82.37962156,,1007,,,,,
"Ru2-",46,44,81.93187267,,1021,,,,,
"Rh3+",42,45,17.04928021,,101,,,,,
"Rh2+",43,45,22.96614848,,158,,,,,
"Rh+",44,45,34.40152113,,284,,,,,
"Rh-",46,45,75.86901635,,881,,,,,
"Rh2-",47,45,75.44210021,,890,,,,,
"Pd3+",43,46,15.55880538,,88.9,,,,,
"Pd2+",44,46,20.94017724,,138,,,,,
"Pd+",45,46,31.48754065,,248,,,,,
"Pd-",47,46,70.46654795,,779,,,,,
"Pd2-",48,46,70.17696246,,787,,,,,
"Ag3+",44,47,9.171282038,,38.7,,,,,
"Ag2+",45,47,12.63934839,,61.6,,,,,
"Ag+",46,47,19.96035392,,115,,,,,
"Ag-",48,47,66.00662466,,698,,,,,
"Cd3+",45,48,11.28415344,,55.7,,,,,
"Cd2+",46,48,15.24370967,,86.3,,,,,
"Cd+",47,48,23.13382663,,155,,,,,
"Cd-",49,48,862.6593606,,20233,,,,,
"In3+",46,49,9.806188775,,45.3,,,,,
"In2+",47,49,13.27325692,,70.1,,,,,
"In+",48,49,20.24418942,,127,,,,,
"In-",50,49,133.245673,,2239,,,,,
"In2-",51,49,171.525913,,3601,,,,,
"Sn3+",47,50,11.06733071,,54.4,,,,,
"Sn2+",48,50,15.01367897,,84.2,,,,,
"Sn+",49,50,29.18298579,,237,,,,,
"Sn-",51,50,89.05139464,,1411,,,,,
"Sn2-",52,50,95.75505931,,1702,,,,,
"Sb3+",48,51,9.674316684,,44.5,,,,,
"Sb2+",49,51,15.77202467,,98.8,,,,,
"Sb+",50,51,25.49686716,,215,,,,,
"Sb-",52,51,59.64103028,,859,,,,,
"Sb2-",53,51,64.9352253,,1041,,,,,
"Te3+",49,52,11.77506158,,65.2,,,,,
"Te2+",50,52,17.00208822,,122,,,,,
"Te+",51,52,25.09214373,,230,,,,,
"Te-",53,52,49.1013704,,684,,,,,
"Te2-",54,52,53.43013497,,821,,,,,
"I3+",50,53,11.75361316,,71.3,,,,,
"I2+",51,53,15.99022262,,121,,,,,
"I+",52,53,22.10694885,,205,,,,,
"I-",54,53,61.65374531,,925,,,,,
"Xe3+",51,54,10.75424571,,67.6,,,,,
"Xe2+",52,54,13.81046104,,104,,,,,
"Xe+",53,54,18.71227599,,170,,,,,
"Cs3+",52,55,7.055581513,,38.6,,,,,
"Cs2+",53,55,8.982416857,,58.1,,,,,
